"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","±³ÅëÁ¤º¸","È¨ÆäÀÌÁö ¾ğ¾î","´ëÇ¥¸Ş´º"
"13249","en","Sinyetchatjip ","https://english.visitseoul.net/restaurants/Sinyetchatjip/ENP013228?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP013228","110-300 164, Gwanhun-dong, Jongno-gu, Seoul, Korea ","03145 47-8, Insadong-gil, Jongno-gu, Seoul, Korea ","+82-2-732-5257","http://shinyetea.com/ ","Mon 10:00-20:00, Tue-Fri 10:00-21:00, Sat-Sun 10:00-22:00 KST","Subway Line 3, Anguk Station, Exit 6  ","",""
"14147","zh-TW","Banjjakbanjjak binnaneun","https://tchinese.visitseoul.net/restaurants/Banjjakbanjjak-binnaneun3/TCP014145?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014145","110-300 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡Î»ı³Ô× 6","03148 âÏì³ã¼ñ£ÖØÏ¡ìÒŞÑÔ×Ê¶28-1 ","+82-2-738-4525","","12:00~23:00 KST","1ûÜàÊ ñ¤ÊÈ 3ûÜõóÏ¢  ","",""
"3280","zh-TW","ò®ü£í­âÏì³","https://tchinese.visitseoul.net/restaurants/Jihwaja-õÅïÁ/TCP003280?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP003280","110-030 âÏì³ã¼ñ£ÖØÏ¡?ê£Ô×48 ","03031 âÏì³ã¼ñ£ÖØÏ¡í¹ùÇÚ¦ÖØ125 ","+82-2-2269-5834","http://www.jihwajafood.co.kr/ch/","11:30~15:00, 17:30~21:30 KST","ò¢ôÑ3ûÜàÊÌØÜØÏàó×3ûÜõóÏ¢ï®÷³1711¡¢7016¡¢7018Íëó³£¬åÚÌÈÑ²ßÂÍÔù»ó³","ùÛÙş¡¢çÈÙş¡¢ìíÙş¡¢ñéÙş","¡Ü ÷ßóÉ   - òäåÙØ¹óÉ   - òäåÙÜ¬?óÉ   - íşĞÑ?óÉ  ¡Ü ÊÛÓ¤îÜ÷ßóÉ   - éÚÛÉåÙàÎ   - íı?øêåàåÙàÎ   - ú­àØãêà¹ÖÓåÙàÎ"
"4625","ja","ÑÑûõ ","https://japanese.visitseoul.net/restaurants/ÑÑûõ/JPP004608?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP004608","140-854 «½«¦«ëã¼×£ß£?ì£õ½Ô×302-68 ","04427 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«¤«Á«ç«ó«í182  (ì£õ½Ô×)","+82-2-796-0995","","11:00-15:00, 16:30-21:00 KST","ò¢ù»?4?àÊ¡¸«¤«Á«ç«ó¡¹?4ÛãõóÏ¢   ","","«««ó«·«ç«¨«Ó¡¢ŞÌô¹÷·?"
"16386","en","Young-Ji¡¯s Pojangmacha ","https://english.visitseoul.net/restaurants/Young-Ji¡¯s-Pojangmacha/ENP015856?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP015856","135-957 126-3, Cheongdam-dong, Gangnam-gu, Seoul ","06013 24, Dosan-daero 89-gil, Gangnam-gu, Seoul ","+82-70-8154-4861","","18:00 - 03:00 (KST)","Subway Line 7, Cheongdam Station, Exit 13 (15 mins on foot)","",""
"1749","ja","Slunch Factory","https://japanese.visitseoul.net/restaurants/Slunch-Factory-JP/JPP001739?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP001739","121-829 «½«¦«ëã¼Ø«øİ?ß¾â©Ô×336-18 ","04074 «½«¦«ëã¼«Ş«İ(Ø«øİ)?«ï«¦«µ«ó«í3«®«ë38 (ß¾â©Ô×)","+82-2-6367-9870","https://www.instagram.com/slunch_factory/","11:00 ~ 23:00 (KST) ","ò¢ù»?6?àÊ¡¸«µ«ó«¹¡¹?4ÛãõóÏ¢    ","","«À«¤«¨«Ã«Èãİ "
"7162","ko","¸¶Æ÷¿Á","https://korean.visitseoul.net/restaurants/¸¶Æ÷¿Á1/KOP007160?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007160"," ¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¿ë°­µ¿ 50-13","04165 ¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ÅäÁ¤·Î 312 (¿ë°­µ¿) ","02-716-6661","","ÆòÀÏ 07:00 ~ 21:00 ÁÖ¸» 07:00 ~ 17:00","5È£¼± ¸¶Æ÷¿ª 1¹ø Ãâ±¸ ","","¾çÁö¼³··ÅÁ Â÷µ¹ÅÁ Â÷µ¹¼öÀ°"
"15201","ja","BILLY ANGEL(Ë°ÑõïÁ) ","https://japanese.visitseoul.net/restaurants/BILLY¡©ANGEL£¨Ë°ÑõïÁ£©/JPP015190?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP015190","135-908 «½«¦«ëã¼Ë°Ñõ??ß²Ô× 619-16","06129 «½«¦«ëã¼«««ó«Ê«à«°(Ë°Ñõ?)«Æ«Ø«é«ó«í1«®«ë48 (?ß²Ô×)","+82-70-5051-8135","http://www.billyangel.co.kr/","11:00 ~ 23:00 (KST)","2?àÊ«««ó«Ê«à?11ÛãõóÏ¢    «·«ó«Ö«ó«À«ó«½«ó(ãæİÎÓĞàÊ)«««ó«Ê«à?11ÛãõóÏ¢    9?àÊ«·«ó«Î«ó«Ò«ç«ó?5ÛãõóÏ¢   ",",ùÛ?åŞ¡¤çÈåŞ","«ß«ë«¯«ì?«×¡¢«ì«Ã«É«Ù«ë«Ù«Ã«È«±?«­¡¢«­«ã«í«Ã«È«±?«­"
"11269","zh-TW","ĞéãôÔËÚùïÁ Òïå³Òïå³éÚÛÉÎ½","https://tchinese.visitseoul.net/restaurants/ĞéãôÔËÚùïÁ-Òïå³Òïå³éÚÛÉÎ½/TCP011268?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP011268","07238 âÏì³ã¼çµÔôøİÏ¡æ£ëøÓöÔ×13-3 ĞéãôÔËñĞïÁ1×§","07238 âÏì³ã¼çµÔôøİÏ¡ÏĞüåÓŞÖØ76Ê¶16 ĞéãôÔËñĞïÁ1×§","+82-2-6670-7270","http://www.kensingtonyoido.co.kr/Dining/Newyork.aspx","11:30 ~ 21:00 (KST)","ò¢ôÑ9ûÜàÊÏĞüåì¡ŞÀÓÑó×1ûÜõóÏ¢","ùÛÙş",""
"11349","en","Hangwachae","https://english.visitseoul.net/restaurants/Hangwachae-EN/ENP011334?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP011334","110-300 30-9, Gwanhun-dong, Jongno-gu, Seoul ","03146 13, Insadong 10-gil, Jongno-gu, Seoul ","+82-2-720-2802"," http://blog.naver.com/kts1403  ","Daily 11:30 - 14:30 KST","Subway Line 3, Anguk Station, Exit 6   ","KOR",""
"14324","ja","«È«ó«®«ç«ó¡¤«¸«ç«ó«È«ó¡¤«æ«Ã«±«¸«ã«ó","https://japanese.visitseoul.net/restaurants/«È«ó«®«ç«ó¡¤«¸«ç«ó«È«ó¡¤«æ«Ã«±«¸«ã«ó-jp/JPP014323?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014323","  ","06130 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«Æ«Ø«é«ó«í7«®«ë22 (?ß²Ô×)","+82-2-566-9779","","øÁìí 09:00 ~ 15:00 / 17:00 ~ 21:00 (KST) ñÎØÇ 09:30 ~ 15:00 (KST)","ò¢ù»?2?àÊ¡¸«««ó«Ê«à¡¹?12ÛãõóÏ¢ ","",""
"28700","ko","SKY31 Çªµå¿¡ºñ´º","https://korean.visitseoul.net/restaurants/SKY31-Çªµå¾Öºñ´º/KOP028700?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028700","138-240 ¼­¿ï ¼ÛÆÄ±¸ ½ÅÃµµ¿ 29 ","05551 ¼­¿ï ¼ÛÆÄ±¸ ¿Ã¸²ÇÈ·Î 300 (½ÅÃµµ¿, ·Ôµ¥¿ùµåÅ¸¿ö¾Øµå·Ôµ¥¿ùµå¸ô) 31Ãş","02-3213-9992","","ÆòÀÏ 18:00 - 22:00 ÁÖ¸» 11:30 - 21:00","2?8È£¼± Àá½Ç¿ª","",""
"19453","zh-CN","Ù¼Ûõõ¤Ò´?1976 ãæõ½òÁ?ïÁ","https://chinese.visitseoul.net/restaurants/Ù¼Ûõõ¤Ò´?1976-ãæõ½òÁ?ïÁ/CNP019417?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP019417","120-834 âÏ?à¤ÓŞ???ô¹Ô× 53-23 ","03787 âÏ?à¤ÓŞ??æÅá¦ÖØ7Ê¶ 46 (?ô¹Ô×) ","+82-2-565-1976","http://www.mobumtopokki.com/","ñ²ìé~ñ²×¿ 11:00~23:00  ñ²ìí 11:30~22:30 ","2?? ãæõ½ó×1?õóÏ¢","",""
"14346","en","Miro Sikdang","https://english.visitseoul.net/restaurants/Miro-Sikdang2/ENP014344?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP014344"," 6-99, Changjeon-dong, Mapo-gu, Seoul, Korea ","04059 80, Wausan-ro 30-gil, Mapo-gu, Seoul, Korea (Ã¢Àüµ¿) ","+82-507-1412-3777","","Daily 18:00 - 22:00 (KST)","Subway Line 2, Hapjeong Station, Exit 3  ","",""
"14362","ja","ÔÔÌÈãİÓÑ","https://japanese.visitseoul.net/restaurants/ÔÔÌÈãİÓÑ3/JPP014359?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014359","150-881 «½«¦«ëã¼çµÔôøİ?æ£ëøÓöÔ×28-3 ","150-881 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«Ç«í8 ","+82-2-786-7220","","11:30 - 22:00 15:00 - 17:30(«Ö«ì«¤«¯«¿«¤«à)","ò¢ù»?5?àÊ¡¸«è«¤«É¡¹?1ÛãõóÏ¢","","«Ë«å?«¸«ã«Ñ«Ë?«º"
"11055","ja","«µ«à«´«ê«İ«Á«ã","https://japanese.visitseoul.net/restaurants/samgeoli-pocha-jp/JPP011051?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP011051"," «½«¦«ëã¼Ø«øİ?à¤ÎéÔ× 361-12«°«ó«Ü«ó«Ó«ë(ûğÓŞÜâïÁ)"," «½«¦«ëã¼«Ş«İ(Ø«øİ)?«ï«¦«µ«ó«í70 (à¤ÎéÔ×)«°«ó«Ü«ó«Ó«ë(ûğÓŞÜâïÁ)","+82-2-334-3301","","18:30 ? ìÎ05:00 (KST)","ò¢ù»?6?àÊ¡¸«µ«ó«¹¡¹?2ÛãõóÏ¢«¯«¯«É«ó(Ğ¿ÔÔ)Û¯áêÏÑªò÷×ªêÎ¦ª®ª¿à»ªÎß²ó©ÖØéÓâ¢ªËêÈöÇ(«¯«é«Önb2ªÈªÊªê)","",""
"14879","ko","ÁÙ¶óÀÌ","https://korean.visitseoul.net/restaurants/ÁÙ¶óÀÌ/KOP014877?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014877"," ¼­¿ï ¼­ÃÊ±¸ ¹İÆ÷µ¿ 577-20 577-20","06589 ¼­¿ï ¼­ÃÊ±¸ µ¿±¤·Î 164 (ÁÙ¶óÀÌºôµù) ","02-534-9544","https://catchtable.co.kr/july","12:00~15:00, 18:00~22:00","2È£¼± ¼­ÃÊ¿ª 5¹ø Ãâ±¸","",""
"14709","zh-CN","Chai Lyn","https://chinese.visitseoul.net/restaurants/Chai-Lyn-CN/CNP014705?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP014705","135-090 âÏ?÷å?ã¼Ë°Ñõ?ß²àòÔ× 71-24","06086 âÏ?ã¼Ë°Ñõ?ß²à÷ÖØ112Ê¶10 ","+82-2-543-2847","","11:30~15:00, 17:00~21:30  / ñ²ØÇ 11:30~21:30 KST","7?? ?ÓÁó×6?õóÏ¢ 9?? ß²à÷ñéäçó×3?õóÏ¢ÜÆú¼3İÂ?","",""
"14927","ja","«Ï«ó«Ê«à¡¤«×«´«°«¯","https://japanese.visitseoul.net/restaurants/«Ï«ó«Ê«à¡¤«×«´«°«¯/JPP014926?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014926","140-886 «½«¦«ëã¼×£ß£?ùÓÑõÔ×73-2 ","04419 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«È«Ã«½«À«ó«í65-7 (ùÓÑõÔ×)","+82-2-2297-1988","","êÅ~÷Ï 08:00 ~ 15:00 / 16:00 ~ 23:00 (KST) ìí 08:00~15:00 / 16:00 ~ 21:00 (KST)","ò¢ù»?6?àÊ¡¸«Ï«ó«¬«ó«¸«ó¡¹?2ÛãõóÏ¢ ","","ùÛ?Öù×âìéÚõ"
"14938","ko","»çÇÁ¶õ","https://korean.visitseoul.net/restaurants/»çÇÁ¶õ-KR/KOP014936?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014936"," ¼­¿ï Áß±¸ Àå±³µ¿ 74 59-5","04542 ¼­¿ï Áß±¸ »ïÀÏ´ë·Î 362 (Àå±³µ¿, ·Ôµ¥½ÃÆ¼È£ÅÚ ¸íµ¿) 2Ãş","02-6361-8644","","11:30 ~ 22:00","2,3È£¼± À»Áö·Î3°¡¿ª 1¹ø Ãâ±¸","","Ä¡Å²ÇÑµğ, ·¥ºêÇÑµğ, È¨¸ğ½º"
"7163","ja","«Ş«İ«ª«¯","https://japanese.visitseoul.net/restaurants/«Ş«İ«ª«¯3/JPP007160?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP007160"," «½«¦«ëã¼Ø«øİ?×£Ë°Ô× 50-13","04165 «½«¦«ëã¼«Ş«İ«°(Ø«øİ?)«È«¸«ç«ó«í312 ","+82-2-716-6661","http://www.mapook.com","øÁìí07:00~21:00 (KST) ñÎØÇ07:00~17:00 (KST)","5?àÊ «Ş«İ 1ÛãõóÏ¢  ","ùÛ?åŞ","«½«ë«í«ó«¿«ó"
"33503","zh-CN","âÏ?áÈãİßæüÀ","","  ","  ","","","","","",""
"6474","zh-TW","Deutsch House","https://tchinese.visitseoul.net/restaurants/Deutsch-House-TC/TCP006473?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP006473","140-887 âÏì³ã¼éÌß£Ï¡ùÓÑõÔ×653-68 ","04402 âÏì³ã¼éÌß£Ï¡ÓŞŞÅÎ½ÖØ46 ","+82-2-794-1313","","11:30 ~ 02:00 (KST)","ò¢ôÑ6ûÜàÊ×Ş÷ÁêÂó×3ûÜõóÏ¢","",""
"16450","zh-TW","çÈòªÊ«øĞíûØ©ó³","https://tchinese.visitseoul.net/restaurants/çÈòªÊ«øĞíûØ©ó³/TCP015856?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP015856","135-957 âÏì³ã¼Ë°ÑõÏ¡?ÓÁÔ×126-3(?ÓÁõÅïÁ) ","06013  ","+82-70-8154-4861","","18:00~03:00 (KST)","Ëå×î7ûÜàÊ?ÓÁó×13ûÜõóÏ¢1Íë×ìì¤Ò®","","?ú¯÷·¡¢?êúÚù "
"27568","zh-TW","Yebindang","https://tchinese.visitseoul.net/restaurants/Yebindang-TC/TCP027466?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP027466","133-835 âÏì³ã¼á¡â©Ï¡á¡â©Ô×2Ê¶315-7 ","04782 âÏì³ã¼á¡â©Ï¡á¡â©2ÖØ87 ","+82-2-3443-5542","http://www.yebindang.com/","øÁìí 8:00 - 22:00 (KST) ÖÉÛÈ×¿ 10:00 - 22:00 (KST) ÖÉÛÈô¸ 10:00 - 21:00 (KST)","2ûÜàÊá¡â©ó×3ûÜõóÏ¢","ùÛÙş","Duteoptteok¡¢ü£áæ?¡¢àä?"
"14878","zh-CN","July","https://chinese.visitseoul.net/restaurants/July-CN/CNP014877?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP014877","137-040 âÏ?÷å?ã¼ßúõ®??øİÔ× 577-20","06589 âÏ?ã¼ßúõ®??ÎÃÖØ164 ","+82-2-534-9544","","12:00~15:00, 18:00~22:00 KST","3?? ?Ô²Ñ©??ó×ó×5?õóÏ¢","",""
"14490","zh-TW","??æ¡ú¼(Coffee Tour)","https://tchinese.visitseoul.net/restaurants/??æ¡ú¼Coffee-Tour-TC/TCP014488?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014488","110-070 âÏì³÷åÜ¬ã¼ñ¤ÖØÏ¡Ò®âÍÔ× 110-34","03175 âÏì³ã¼ñ£ÖØÏ¡ÌÔı÷Ïà2Ê¶12 ","+82-2-733-6611","http://www.coffeetour.co.kr/","ñÎìé~ñÎçé 08:00 ~ 17:00 (KST) ìí 10:00 ~ 18:00 (KST)","5ûÜàÊ ÎÃûùÚ¦ 1ûÜõóÏ¢",",??",""
"3533","en","Goraebul","https://english.visitseoul.net/restaurants/Goraebul/ENP003531?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003531","135-935 828-53, Yeoksam1(il)-dong, Gangnam-gu, Seoul ","06239 62, Nonhyeon-ro 79-gil, Gangnam-gu, Seoul ","+82-507-1416-3677","http://koraebul.com","Weekdays 11:30 - 14:30 / 17:00 - 22:00 (KST) Weekends 11:30 - 21:00 (KST)","Subway Line 2, Gangnam Station, Exit 2  ","",""
"6525","en","Baengnyeonok","https://english.visitseoul.net/restaurants/Baengnyeonok-EN/ENP006514?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP006514","137-867 1450-6, Seocho-dong, Seocho-gu, Seoul ","06719 2407, Nambusunhwan-ro, Seocho-gu, Seoul ","+82-2-523-2860","","Daily 10:00 - 22:00","Subway Line 3, Nambu Bus Terminal Station, Exit 5","",""
"19431","ja","«â«Ü«à«È«Ã«İ«Ã«­1976 «·«ó«Á«ç«ó(ãæõ½)òÁ?ïÁ","https://japanese.visitseoul.net/restaurants/«â«Ü«à«È«Ã«İ«Ã«­1976-«·«ó«Á«ç«óãæõ½òÁ?ïÁ/JPP019417?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP019417","120-834 «½«¦«ëã¼à¤ÓŞÚ¦?óçô¹Ô×53-23 ","03787 «½«¦«ëã¼«½«Ç«à«ó(à¤ÓŞÚ¦)?«è«ó«»«í7«®«ë46 (óçô¹Ô×)«Á«ã«ó«½«Ó«ë","+82-2-565-1976","http://www.mobumtopokki.com/","êÅèøìí?÷Ïèøìí11:00?23:00 / ìíèøìí 11:30-22:30 ñŞİáãÁÊà 15:00-16:00","ò¢ù»?2?àÊ¡¸«·«ó«Á«ç«ó(ãæõ½)¡¹?1ÛãõóÏ¢","ùÛ?åŞ",""
"8367","zh-CN","éÚØùß£×³?Ê«","https://chinese.visitseoul.net/restaurants/Woomyeonsanbudnamujip-CN/CNP008356?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP008356","137-864 1425-1, âÏ?ßúõ®?ßúõ®Ô× ","06725 2457, âÏ?ã¼ßúõ®?Ñõİ»âà?ÖØ ","+82-2-597-5900","http://www.budnamujip.com","11:00 ~ 21:30 (KST)","3?? Ñõİ»?Ô²Ñ©??ó×ó×4?õóÏ¢","","êªğÓÛÉÍé â¢ßàë¿ ãæ?×ìô±"
"4296","zh-TW","ëàÚËÓæ","https://tchinese.visitseoul.net/restaurants/Eulmildae-TC/TCP004240?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP004240","121-872 âÏì³ã¼Ø«øİÏ¡ç¤×ìÔ×147-6 ","04138 âÏì³ã¼Ø«øİÏ¡âıÙşÊ¶24 ","+82-2-717-1922","","KST 11:00 ~ 22:00","ò¢ôÑ6ûÜàÊÓŞıéó×2ûÜõóÏ¢ ","",""
"10768","zh-TW","ÔÔË°","https://tchinese.visitseoul.net/restaurants/ÔÔË°-Ton-Kiang2/TCP010764?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP010764","04427 âÏì³÷åÜ¬ã¼×£ß£Ï¡ì£õ½Ô× 302-68","04427 âÏì³ã¼éÌß£Ï¡ì£õ½ÖØ182 ","+82-2-794-1033","","11:30 ~ 14:00 / 17:00 ~ 20:30 (KST)","ò¢ôÑÌÈëùñéäç¡¢4ûÜàÊì£õ½ó×4ûÜõóÏ¢","",""
"1680","en","Apple House","","137-811 978, Banpo-dong, Seocho-gu, Seoul ","06548 50, Sinbanpo-ro, Seocho-gu, Seoul ","+82-2-595-1629","","Daily 10:00 - 21:30 ","Subway Line 9, Gubanpo Station, Exit 3","",""
"10793","ko","¶óÄ®¶ó½º","https://korean.visitseoul.net/restaurants/¶óÄ®¶ó½º/KOP010793?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP010793","137-927 ¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊ3µ¿ 1451-79","06719 ¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹İÆ÷´ë·Î 8 (¼­ÃÊµ¿) 1Ãş","02-521-3325","","È­~±İ 11:30~15:30 / 16:30~22:00 Åä~ÀÏ 11:30~21:00","3È£¼± ³²ºÎÅÍ¹Ì³Î¿ª 5¹ø Ãâ±¸  ","","»Ç¸ğµµ·Î, ¾Ë¸®¿À¿Ã¸®¿À, ¸¸Á¶ÇÇÀÚ, Ã¤³¡µî½É½ºÅ×ÀÌÅ©"
"14050","zh-TW","egg and Spoon Race","https://tchinese.visitseoul.net/restaurants/egg-and-Spoon-Race-cha/TCP014050?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP014050","120-808 âÏì³÷åÜ¬ã¼à¤ÓŞÚ¦Ï¡ÓŞúÖÔ× 54-9","03767 âÏì³ã¼à¤ÓŞÚ¦Ï¡×Şü£Ò³í­ÓŞùÊÊ¶26 ","+82-2-312-5234","","11:00~16:00, 17:00~21:00 KST","ò¢ôÑ2ûÜàÊ×ŞÓŞó×3ûÜõóÏ¢","",""
"14347","ja","«ß«í¡¤«·«¯«¿«ó","https://japanese.visitseoul.net/restaurants/«ß«í¡¤«·«¯«¿«ó3/JPP014344?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014344","  ","04059 Ø«øİ?èÂéÚß£ÖØ30«®«ë80 ","+82-507-1412-3777","","18:00 ~ 22:00 (KST)","ò¢ù»?2?àÊ¡¸«Ï«×«Á«ç«ó¡¹?3ÛãõóÏ¢ ","","«â«À«óùÛ?Öù×â"
"14255","ja","«Á«å«ó«Á«ç«ó¡¤«½«ó«««ë«¯«°«¹","https://japanese.visitseoul.net/restaurants/«Á«å«ó«Á«ç«ó¡¤«½«ó«««ë«¯«°«¹-J/JPP014255?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014255","100-032 «½«¦«ëã¼ñé?îÈÔ×2Ê¶ 19-2","04550 «½«¦«ëã¼«Á«å«ó«°(ñé?)«Ş«ë«ó«Í«í23 ","+82-2-2279-9885","","11:00 ~ 21:00 (KST)","2?àÊ «¦«ë«¸«í«µ«à«¬ 11ÛãõóÏ¢  ","","«««ë«¯«°«¹(ùÛ?ãÒª¦ªÉªó)"
"14290","ko","½´Ä¡Äí","https://korean.visitseoul.net/restaurants/½´Ä¡Äí/KOP014288?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014288","150-763 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 60 ","07345 ¼­¿ï ¿µµîÆ÷±¸ 63·Î 50 (¿©ÀÇµµµ¿, 63ÇÑÈ­»ı¸íºôµù) 58Ãş","0507-1401-5751","http://www.63restaurant.co.kr/","¿ù~Åä 11:30 ~ 15:00 / 17:30 ~ 22:00 ÀÏ¿äÀÏ 11:30 ~ 15:00 / 17:10 ~ 21:30","9È£¼± »û°­¿ª 3¹ø Ãâ±¸  ","","½º½Ã, »ç½Ã¹Ì"
"13709","ko","±îÄ¡³×","https://korean.visitseoul.net/restaurants/±îÄ¡³×/KOP013706?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013706","140-160 ¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ³²¿µµ¿ 40-4","04352 ¼­¿ïÆ¯º°½Ã ¿ë»ê±¸ ÇÑ°­´ë·Î84±æ 11-16 (³²¿µµ¿) ","02-798-4668","","¿ù~Åä 17:00~23:00","4È£¼± ¼÷´ëÀÔ±¸¿ª 5¹ø Ãâ±¸  ","","´ßººÀ½ÅÁ, °è¶õ¸»ÀÌ, °è¶õ¹ü¹÷, µÎºÎ±èÄ¡, ±èÄ¡Âî°³, µ¿ÅÂÂî°³, ÂüÄ¡Âî°³, ºÎ´ëÂî°³, ¿ÀÂ¡¾îººÀ½, ¿ÀÂ¡¾îµ¤Ã¤, °ñ¹ğÀÌ¹«Ä§, ´ßººÀ½ÅÁ"
"20249","en","Carnaby Street","https://english.visitseoul.net/restaurants/CARNABY-ST/ENP020052?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP020052","  ","04789 136, Wangsimni-ro, Seongdong-gu, Seoul ","+82-2-461-5333","","14:00 - 02:00 (KST)","Subway Line 2, Ttukseom Station, Exit 1 (300 m on foot)","",""
"13713","zh-CN","îÄ(Inosisi)","https://chinese.visitseoul.net/restaurants/îÄInosisi-cn/CNP013711?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP013711","121-865 âÏ?÷å?ã¼Ø«øİ?æÅÑõÔ× 226-16","03981 âÏ?ã¼Ø«øİ?àò?ß£ÖØ197 ","+82-507-1368-7307","https://poingapp.page.link/inosisi","18:00 ~ 24:00 (KST)","2?? ûğÓŞìıÏ¢ 3õóÏ¢  ","??",""
"14524","zh-CN","??Ù¥÷¼??(Buheung Dongtae)","https://chinese.visitseoul.net/restaurants/??Ù¥÷¼??Buheung-Dongtae-cn/CNP014523?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP014523","07331 âÏ?÷å?ã¼çµÔôøİ?æ£ëø?Ô× 36-4","07331 âÏ?ã¼çµÔôøİ???ÑÑë×ÖØ8Ê¶34 ","+82-2-782-7707","","øÁìí 09:00 ~ 22:00 (KST) ñ²×¿ 11:00 ~ 15:00 (KST)","5?? æ£ëø? 5õóÏ¢  ","","?Ù¥÷¼?"
"4496","zh-CN","ÛÜ×ìúÅ(Paengnihyang)","https://chinese.visitseoul.net/restaurants/Paengnihyang-JP/CNP004475?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP004475","150-763 âÏ?ã¼çµÔôøİ?æ£ì®?Ô× 60 ","07345 âÏ?ã¼çµÔôøİ?×¿ß²ÖØ50 57?","+82-507-1333-5741","http://www.63restaurant.co.kr/introduction/introduction.r63?shop_idrest=31020","11:30 ~ 15:00, 17:30 ~ 22:00 KST","9?? ?Ë°ó×3?õóÏ¢","",""
"14525","ja","«×«Õ«ó¡¤«È«ó«Æ","https://japanese.visitseoul.net/restaurants/buheung-dongtae-jp/JPP014523?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP014523","07331 «½«¦«ëã¼çµÔôøİ?æ£ëøÓöÔ×36-4 ","07331 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«¯«¯«Á«§«°«ß«å«ó«í8«®«ë34 (æ£ëøÓöÔ×)","+82-2-782-7707","","øÁìí 09:00 ~ 22:00 (KST) ÷Ïèøìí 11:00 ~ 15:00 (KST)","ò¢ù»?5?àÊ¡¸«è«¤«É¡¹?5ÛãõóÏ¢  ","","ÕÒÔĞ«¹«±«È«¦«À«é"
